title,currency,properties,neighborhood,title-2,title-3,price_dop
10 Villas Hermosa en venta ubicadas en Playa Nueva Romana 📍,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En planos"", ""build_square_meters"": ""2"", ""mini_bathrooms_quantity"": ""1""}",,La Romana,La Romana,21485504.0
Villas de 1 Nivel con 3 Habitaciones en Complejo Privado con Piscina,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""Nuevo"", ""build_square_meters"": 140, ""terrain_square_meters"": ""407""}",,Bávaro/Punta Cana,La Altagracia,9303805.5
Nuevo proyecto de apartamentos en la Aut. Duarte km 14,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En planos"", ""build_square_meters"": ""65""}",Km. 14,Santo Domingo Oeste,Santo Domingo,2651801.49
Proyecto Exclusivo de 10 Villas Ecológicas de 4 Habitaciones,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""4"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""198"", ""terrain_square_meters"": ""900""}",,Jarabacoa,La Vega,12603090.3
"Lotes en Venta en Jarabacoa, Adquiere un 2do Hogar en Proyecto Privado",USD,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": ""450""}",,Jarabacoa,La Vega,1649588.85
Proyecto de casas en venta ubicado en Bávaro punta Cana 📍,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En planos"", ""build_square_meters"": ""210"", ""terrain_square_meters"": ""2"", ""mini_bathrooms_quantity"": ""1""}",,Bávaro/Punta Cana,La Altagracia,8481120.0
Lotes en Venta en Placentero Proyecto Próximo al Campo de Golf,USD,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": ""1640""}",,Jarabacoa,La Vega,4624488.4
VENDO SOLAR,DOP,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": ""135""}",Villa Mella,Santo Domingo Norte,Santo Domingo,135000.0
Lotes en Venta en Exclusivo y Accesible Proyecto Residencial,USD,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": ""1100""}",,Jarabacoa,La Vega,4027316.15
"HERMOSA CASA CON FACHADA MODERNA PROXIMO A LA AVE. ECOLOGICA, EN BRISA ORIENTAL ",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En planos"", ""build_square_meters"": ""210"", ""terrain_square_meters"": ""190"", ""mini_bathrooms_quantity"": ""1""}",Brisa Oriental,Santo Domingo Este,Santo Domingo,7746089.6
Apartamento. Venta. Piso 7. Habitaciones 3. Metros 250. Bella Vista.,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""250"", ""mini_bathrooms_quantity"": ""1""}",Bella Vista,Distrito Nacional,Santo Domingo,16300813.0
Apartamento con terraza en Bella Vista 3 habitaciones,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""275"", ""mini_bathrooms_quantity"": ""1""}",Bella Vista,Distrito Nacional,Santo Domingo,12968941.0
"Apartamentos de 2 Habitaciones, Proyecto Cerrado con Piscina",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 2, ""bathrooms_quantity"": 2, ""building_condition"": ""Nuevo"", ""build_square_meters"": 59}",,Bávaro/Punta Cana,La Altagracia,3013446.35
casa de dos niveles en Puerto Plata,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""Segundo uso"", ""build_square_meters"": 220, ""terrain_square_meters"": ""293"", ""mini_bathrooms_quantity"": ""1""}",,Puerto Plata,Puerto Plata,10742752.0
Hermoso proyecto en venta ubicado en Punta Cana 📍,USD,"{""property_type"": ""Con linea blanca"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En planos"", ""build_square_meters"": ""2"", ""mini_bathrooms_quantity"": ""1""}",,Bávaro/Punta Cana,La Altagracia,10776619.94
Apartamento Mirador Sur Alquiler,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""4"", ""build_square_meters"": ""387"", ""mini_bathrooms_quantity"": ""1""}",Mirador Sur,Distrito Nacional,Santo Domingo,225611.6
Villas de 2 Habitaciones en Proyecto Cerrado con Piscina,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 2, ""bathrooms_quantity"": 2, ""building_condition"": ""Nuevo"", ""build_square_meters"": 72, ""terrain_square_meters"": ""112""}",,Bávaro/Punta Cana,La Altagracia,3703422.4
Hermoso proyecto en venta ubicado en Punta Cana 📍⭐️,USD,"{""property_type"": ""Con linea blanca"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En planos"", ""build_square_meters"": ""171"", ""mini_bathrooms_quantity"": ""1""}",,Bávaro/Punta Cana,La Altagracia,9125628.58
"Solar/Terreno proximo al Aeropuerto de Punta Cana, 2,606 Metros.",USD,"{""terrain_usage_type"": ""Comercial"", ""terrain_square_meters"": 2606}",Próximo al Aeropuerto de Punta Cana,Bávaro/Punta Cana,La Altagracia,4251.33
Apartamentos en Venta,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 4, ""bathrooms_quantity"": 3, ""building_condition"": ""Nuevo"", ""build_square_meters"": 155}",,Santiago de los Caballeros,Santiago,9781558.4
💣 Hermoso Apartamento🏚 Lujo! Seguridad y Confort que puedes  pagar⛱ ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""400"", ""mini_bathrooms_quantity"": ""1""}",Villa Aura,Santo Domingo Oeste,Santo Domingo,3947069.0
Coquetas Villas Pequeñas con 2 Habitaciones en Proyecto Cerrado,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 2, ""bathrooms_quantity"": 2, ""building_condition"": ""Nuevo"", ""build_square_meters"": 67, ""terrain_square_meters"": ""175""}",,Bávaro/Punta Cana,La Altagracia,3618611.2
ALQUILA APARTAMENTO ENSANCHE ISABELITA ,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""120"", ""mini_bathrooms_quantity"": ""1""}",ENSANCHE ISABELITA,Santo Domingo Este,Santo Domingo,19741.02
Vendo Pethouse en exclusiva zona de Alma Rosa 1 Santo Domingo este,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""200"", ""mini_bathrooms_quantity"": ""2""}",,Santo Domingo Este,Santo Domingo,9000000.0
Complejo Cerrado de Villas Económicas en Punta Cana,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 2, ""bathrooms_quantity"": 1, ""building_condition"": ""Nuevo"", ""build_square_meters"": 79, ""terrain_square_meters"": ""100""}",,Bávaro/Punta Cana,La Altagracia,3618611.2
Apartamento venta Paraíso,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""296"", ""mini_bathrooms_quantity"": ""1""}",Paraíso,Distrito Nacional,Santo Domingo,15177699.0
SOLAR AL MEJOR PRECIO.,DOP,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": 135}",Villa Mella,Santo Domingo Norte,Santo Domingo,742500.0
inmobiliaria Lisbeth SRL ,DOP,"{""terrain_usage_type"": ""Otros"", ""terrain_square_meters"": 0}",Villa Mella,Santo Domingo Norte,Santo Domingo,810000.0
Hermoso Proyecto de Apartamentos en Punta Cana,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 1, ""bathrooms_quantity"": 1, ""building_condition"": ""Nuevo"", ""build_square_meters"": 70, ""mini_bathrooms_quantity"": 1}",,Bávaro/Punta Cana,La Altagracia,3905262.51
 solar ,DOP,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": 500}",,Puerto Plata,Puerto Plata,2000.0
Hermosa y Acogedora Casa con Piscina en Privilegiada Ubicación,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""Nuevo"", ""build_square_meters"": 125, ""terrain_square_meters"": ""250""}",,Bávaro/Punta Cana,La Altagracia,6728355.2
"Apartamentos con Jacuzzi, de 1 a 3 Habitaciones con Facilidades de Pago",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 1, ""bathrooms_quantity"": 1, ""building_condition"": ""Nuevo"", ""build_square_meters"": 60, ""mini_bathrooms_quantity"": 1}",,Bávaro/Punta Cana,La Altagracia,5565156.3
Penthouse en el Mirador Sur nuevo a estrenar ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""build_square_meters"": ""258"", ""mini_bathrooms_quantity"": ""1""}",Mirador Sur ,Distrito Nacional,Santo Domingo,19735975.0
Apartamento Jacobo Majluta,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En planos"", ""build_square_meters"": ""80"", ""mini_bathrooms_quantity"": ""1""}",Guaricano,Santo Domingo Norte,Santo Domingo,3358523.52
"Apartamentos Económicos con Piscina, A 15 minutos de la Playa",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""50"", ""mini_bathrooms_quantity"": ""1""}",,Bávaro/Punta Cana,La Altagracia,3300540.24
¡La casa de tus sueños ua esta aqui! ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""145"", ""terrain_square_meters"": ""135"", ""mini_bathrooms_quantity"": ""1""}",Otro,Santo Domingo Oeste,Santo Domingo,6247758.4
"Vendo casa en Bella vista 
386 mts. De solar 
400 mts. De construcción 
",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""400"", ""terrain_square_meters"": ""385"", ""mini_bathrooms_quantity"": ""1""}",Bella Vista,Distrito Nacional,Santo Domingo,32510960.0
Hermoso Proyecto Exclusivo de Villas Económicas en Jarabacoa,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 3, ""building_condition"": ""Nuevo"", ""build_square_meters"": 160, ""terrain_square_meters"": ""850""}",,Jarabacoa,La Vega,9442313.6
Villas de 3 Habitaciones en Proyecto Cerrado con Piscina,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""Nuevo"", ""build_square_meters"": 87, ""terrain_square_meters"": ""224""}",,Bávaro/Punta Cana,La Altagracia,4747352.4
Finas Villas en Exclusivo Proyecto Centrico de Punta Cana,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""Nuevo"", ""build_square_meters"": 212, ""terrain_square_meters"": ""455""}",,Bávaro/Punta Cana,La Altagracia,15202830.9
 SOLARES ECONOMICOS,DOP,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": 200}",Villa Mella,Santo Domingo Norte,Santo Domingo,2000.0
Proyecto exclusivo de solares para villas en Monte Plata,DOP,"{""property_type"": ""Residencial"", ""terrain_square_meters"": 500}",Autovia del Nordeste,Monte Plata,Monte Plata,1500.0
"Santo Domingo Aparta Estudio 1 habitacion,cocina y bano",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1"", ""build_square_meters"": ""20"", ""mini_bathrooms_quantity"": ""0""}",Ensanche la Paz,Distrito Nacional,Santo Domingo,10000.0
Casa con mucho patio separe 15% ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""5"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""300"", ""terrain_square_meters"": ""1100"", ""mini_bathrooms_quantity"": ""1""}",Brugal,Puerto Plata,Puerto Plata,56.21
"Apartamento amueblado, Santo Domingo Oeste",DOP,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""1"", ""build_square_meters"": ""80""}",,Santo Domingo Oeste,Santo Domingo,25000.0
"villa en juan dolio, 750m2 solar 250m2 construcion,, 2min de la playa,,pozo",USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""250"", ""terrain_square_meters"": ""750"", ""mini_bathrooms_quantity"": ""1""}","centro,playa vieja",Juan Dolio,San Pedro de Macorís,11242740.0
TU CASA FUERA DE LA CIUDAD SOLARES DISPONIBLES,DOP,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": 200}",Mal Nombre,Santo Domingo Norte,Santo Domingo,2000.0
Grandioso Proyecto Lujoso de Apartamentos en Bávaro,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""51""}",,Bávaro/Punta Cana,La Altagracia,9296898.45
Apartamento en Venta  Alma Rosa 1,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""220"", ""mini_bathrooms_quantity"": ""1""}","Alma Rosa 1
",Santo Domingo Este,Santo Domingo,8848000.0
4 aparta estudios calle el conde con calle santome,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": 4, ""bathrooms_quantity"": 4, ""building_condition"": ""second-hand"", ""build_square_meters"": 89, ""mini_bathrooms_quantity"": 4}",,Otras ciudades,Santo Domingo,8432055.0
Apartamento Evaristo Morales,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""167"", ""mini_bathrooms_quantity"": ""1""}",Evaristo Morales,Distrito Nacional,Santo Domingo,11930108.8
 apartamento en Cacicazgoz,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 3, ""building_condition"": ""Segundo uso"", ""build_square_meters"": 288, ""mini_bathrooms_quantity"": 1}",Cacicazgoz ,Distrito Nacional,Santo Domingo,19735345.0
Apartamentos en Hard Rock Punta Cana Beach Club y Golf Reasort,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""116"", ""mini_bathrooms_quantity"": ""1""}",Punta Cana,Bávaro/Punta Cana,La Altagracia,14547874.6
"Solares para casa, apartamentos y negocios.NO PIERDA MAS TIEMPO",DOP,"{""terrain_usage_type"": ""Comercial"", ""terrain_square_meters"": 135}",Villa Mella,Santo Domingo Norte,Santo Domingo,810.0
Dos parcelas en venta frente al Río y Playa de Los Patos,USD,"{""property_type"": ""Residencial"", ""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": ""2000""}",Los Patos,Otras ciudades,Barahona,28106850.0
Finos Apartamentos en Venta en el Centro de Punta Cana,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""134""}",,Bávaro/Punta Cana,La Altagracia,15822131.22
Nuevo Proyecto de Apartamentos Inteligentes en Cabarete,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 2, ""bathrooms_quantity"": 2, ""building_condition"": ""Nuevo"", ""build_square_meters"": 101}",Cabarete,Sosua,Puerto Plata,9129006.73
"CASA EN VENTA EN PUNTACANA VILLAGE. U$ 538,000.",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 4, ""bathrooms_quantity"": 4, ""building_condition"": ""Nuevo"", ""build_square_meters"": 395, ""terrain_square_meters"": ""527"", ""mini_bathrooms_quantity"": ""2""}",,Bávaro/Punta Cana,La Altagracia,30336044.6
Apartamento Punta Cana,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""52"", ""mini_bathrooms_quantity"": ""0""}",Otro,Bávaro/Punta Cana,La Altagracia,2940121.6
Exquisitos Apartamentos de Alta Gama Frente a la Playa,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 2, ""bathrooms_quantity"": 2, ""building_condition"": ""Nuevo"", ""build_square_meters"": 134}",,Puerto Plata,Puerto Plata,24810148.0
 apartamento en Piantini,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 3, ""building_condition"": ""Segundo uso"", ""build_square_meters"": 360, ""mini_bathrooms_quantity"": 1}",Piantini ,Distrito Nacional,Santo Domingo,21426946.0
Apartamento. Nuevo. Venta. El Vergel. 3 habitciones.,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""116"", ""mini_bathrooms_quantity"": ""1""}",El Vergel,Distrito Nacional,Santo Domingo,11522988.5
APARTAMENTO EN COLINAS DEL SEMINARIO,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""Nuevo"", ""build_square_meters"": 143, ""mini_bathrooms_quantity"": 1}",Colinas del Seminario,Distrito Nacional,Santo Domingo,8532677.52
Amplia y moderna casa en venta en en Residencial exclusivo San Pedro de Macor,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""348"", ""terrain_square_meters"": ""265"", ""mini_bathrooms_quantity"": ""1""}",Residencial Naime,San Pedro de Macorís,San Pedro de Macorís,10360000.0
Apartamentos en Alma Rosa ll,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En planos"", ""build_square_meters"": ""137""}",Alma Rosa ll,Santo Domingo Este,Santo Domingo,6305.61
Apartamento exclusivo en Punta Cana,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""138""}",,Bávaro/Punta Cana,La Altagracia,12687007.5
"Alquiler en Núñez de Cáceres, en US$1,200",USD,"{""property_type"": ""Amueblado"", ""offices_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""40"", ""terrain_square_meters"": ""40""}",El Millón,Distrito Nacional,Santo Domingo,67683.48
Local de alquiler en Bella Vista,DOP,"{""property_type"": ""Sin Amueblar"", ""offices_quantity"": ""1"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""34"", ""terrain_square_meters"": ""0""}",Bella Vista,Distrito Nacional,Santo Domingo,45000.0
venta de apartamentos 3ro y 4to piso 2.6M,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""Nuevo"", ""build_square_meters"": 80}",La Ureña,Santo Domingo Este,Santo Domingo,26000000.0
Naco Amueblado ,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1"", ""build_square_meters"": ""70"", ""mini_bathrooms_quantity"": ""1""}",Ensanche Naco,Distrito Nacional,Santo Domingo,50592.33
Apartamento en piso 9 torre de Evaristo Morales,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 2, ""bathrooms_quantity"": 2, ""building_condition"": ""En construcción"", ""build_square_meters"": 110, ""mini_bathrooms_quantity"": 1}",Evaristo Morales,Distrito Nacional,Santo Domingo,8250822.03
Apartamento en la Jacobo Majluta Ciudad Bonita,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""Segundo uso"", ""build_square_meters"": 83}",,Santo Domingo Norte,Santo Domingo,3250000.0
"VENTAS DE SOLARES CON FACILIDADES DE PAGOS, SEPARE DESDE 10 MIL PESO VILLA MELLA",DOP,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": ""136""}",Villa Mella,Santo Domingo Norte,Santo Domingo,750000.0
"Apartamentos en block, facilidades de de pago: Residencial López VII",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""En planos"", ""build_square_meters"": ""123"", ""mini_bathrooms_quantity"": ""0""}",Autopista de San Isidro,Santo Domingo Este,Santo Domingo,5358275.5
Arroyo hondo solar,DOP,"{""terrain_usage_type"": ""Comercial"", ""terrain_square_meters"": ""478""}",Altos De Arroyo Hondo,Distrito Nacional,Santo Domingo,6800000.0
Apartamento Avenida México esq Rosa Duarte,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""140""}",Gazcue,Distrito Nacional,Santo Domingo,35000.0
Se vende casa de oportunidad ,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""5"", ""bathrooms_quantity"": ""5"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""28173"", ""terrain_square_meters"": ""28173"", ""mini_bathrooms_quantity"": ""1""}",Cancino Afuera,Santo Domingo Este,Santo Domingo,7500000.0
Proyecto casi listo millon entrega diciembre 21 dos y tres habitaciones uno y do,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 2, ""bathrooms_quantity"": 2, ""building_condition"": ""En construcción"", ""build_square_meters"": 105, ""mini_bathrooms_quantity"": 1}",El Millón,Distrito Nacional,Santo Domingo,8420898.9
"RESIDENCIAL ZEGAR, CERRO ALTO, SANTIAGO
APTO DE 160 M2 MAS 2 PARQUEOS TECHADOS",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""185"", ""mini_bathrooms_quantity"": ""1""}",,Santiago de los Caballeros,Santiago,184000.0
Apartamento Mirador Sur,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""235"", ""mini_bathrooms_quantity"": ""1""}",Mirador Sur,Distrito Nacional,Santo Domingo,16301973.0
Apartamento en arroyo hondo viejo ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""1"", ""mini_bathrooms_quantity"": ""1""}",Viejo Arroyo Hondo,Distrito Nacional,Santo Domingo,46794.5
𝐀𝐩𝐚𝐫𝐭𝐚𝐦𝐞𝐧𝐭𝐨 𝐝𝐞 𝐎𝐩𝐨𝐫𝐭𝐮𝐧𝐢𝐝𝐚𝐝,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""152""}",san isidro,Santo Domingo Este,Santo Domingo,4900000.0
LOCAL DE OFICINA  EN SAN CRISTÓBAL CENTRO ,DOP,"{""property_type"": ""Con linea blanca"", ""offices_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""12"", ""terrain_square_meters"": ""300""}",Centro De La Ciudad,San Cristóbal,San Cristóbal,11000.0
Alquiler Amueblado en paraíso,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""build_square_meters"": ""180"", ""mini_bathrooms_quantity"": ""1""}",Ensanche Paraíso,Distrito Nacional,Santo Domingo,135697.92
Casa en Venta en Metro Contryclub,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""340"", ""terrain_square_meters"": ""1000"", ""mini_bathrooms_quantity"": ""1""}",Otro,Juan Dolio,San Pedro de Macorís,19111298.0
SE ALQUILA APTO NUEVO EN NACO ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""76""}",Ensanche Naco,Distrito Nacional,Santo Domingo,47928.7
Venta de casa en villa Carmen,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""1"", ""terrain_square_meters"": ""1""}",Villa Carmen,Santo Domingo Este,Santo Domingo,4900000.0
Solares con su título en muy cómoda cuotas,DOP,"{""property_type"": ""Residencial"", ""terrain_square_meters"": ""135""}",,Santo Domingo Norte,Santo Domingo,6000.0
"Casa En Construcción, 3 Habitaciones, 3 Hab Terraza, Star, Patio Proyecto Cerrad",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""4"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""205"", ""terrain_square_meters"": ""333"", ""mini_bathrooms_quantity"": ""1""}",,Santiago de los Caballeros,Santiago,13900000.0
Vendo Apartamento,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""115""}",Las Dianas ,Santiago de los Caballeros,Santiago,7915712.0
Local en zona Comercial,USD,"{""property_type"": ""Sin Amueblar"", ""build_square_meters"": ""50""}",Los Prados,Distrito Nacional,Santo Domingo,45232.64
Apartamento de lujo en alquiler en Ensanche Paraiso Amueblado,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""build_square_meters"": ""240"", ""mini_bathrooms_quantity"": ""1""}",Paraíso,Distrito Nacional,Santo Domingo,134903.28
Penthouse en Piantini Alquiler Linea Blanca,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""4"", ""build_square_meters"": ""400"", ""mini_bathrooms_quantity"": ""1""}",Piantini,Distrito Nacional,Santo Domingo,174460.25
Casa grande en residencial turístico de puerto plata ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""250"", ""terrain_square_meters"": ""700"", ""mini_bathrooms_quantity"": ""1""}",Brugal,Puerto Plata,Puerto Plata,16114128.0
